,index,wav_filename,wav_filesize,transcript
3312,817,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/ETFW_4Q25.wav,142410,nou mete yon mò nan bouch chwal pou fè yo obeyi nou
1034,503,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/BIFW_3i08.wav,213646,se konsa chèf gouvènman yo pa t rete travay la
2331,615,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/EYMN_4E03.wav,242566,mwen pral lage moun lejip yo nan men yon chèf ki rèd anpil nan men yon wa mechan ki pral gouvène yo
3335,577,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/EXFS_4D05.wav,161446,pa gen repo pou nou isit la ankò
33,975,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/DAFW_2K20.wav,298718,lèfini li renmèt yo nan men chèf gad ki t ap fè pòs nan pòtay kay wa a
1261,964,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/DAFW_2K14.wav,346234,nan mòn peyi efrayim yo ant lavil rama ak lavil betèl te gen yon pye palmis yo te rele palmis debora
2374,392,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/BJFW_3J06.wav,299426,aprè sa yo fè resansman gason nan fanmi merari yo daprè fanmi yo ak daprè branch fanmi zansèt yo
1421,932,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/CWMN_3T05.wav,147462,vye vach mèg yo manje bèl vach gra yo
642,1537,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/CFME_3R19.wav,467606,moun ki te voye dlo sou lòt la pou mete l nan bon kondisyon an va gen pou l lave rad ki te sou li a tou
179,3308,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/new-EE13.wav,402078,poukisa atò ou kite nou pèdi chemen ou te mete devan nou an ou kite nou lage kò nou nan raje
