,index,wav_filename,wav_filesize,transcript
2270,488,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/BYMW_3K11.wav,330062,monsenyè wili womelis mande popilasyon an pran pasyans pou l kajwenn bon rezilta nan travay k ap fèt yo
4425,1255,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/DFMN_2C03.wav,269914,popilasyon an nan chèche jwenn tèt jesnè bò lanmè sou waf jakmèl la
1925,2946,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/EPMS_4W14.wav,313678,li pa bezwen chonje jan lavi a kout paske bondye ba li kont bagay pou l fè pou fè kè l kontan
634,3702,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/bn_3d05.wav,335402,chak fwa yon moun pwoche bò absalon pou mete ajenou devan l absalon lonje men l li kenbe l epi li bo l
4447,4574,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/fcmx_x15.wav,313254,alòske tout moun konnen se jij gaston oba li menm k ap finanse epi dirije sèten gwoup atoufè
316,994,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/CPMN_2Y21.wav,165782,mwen pa pèdi tan m chita ak moun k ap bay blag pou m pran plezi m ak yo
3702,1084,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/CVFW_3S20.wav,282582,men anvan tout bagay sa pou n chache an kantite a se don ki pou ede legliz la grandi nan konfyans
4354,373,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/CAMW_3N13.wav,594586,se plan nèg sa yo menm sitou bèl anjelo ki toujou vle kenbe tach li antan delege depatmantal
1328,230,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/CBFW_3O17.wav,236930,rigal kano te oblije al chèche yon papye nan men jij denskripsyon mibalè a
427,2192,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/BIFW_LL14.wav,429486,tout premye pitit kit se pitit moun kit se pitit bèt ya mete yo apa pou mwen e se pou ou yo va ye tou
2897,3107,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/new-X12.wav,280922,li tap pale ak tout zwezo kap vole nan syèl la li tap di yo byen fò vini
105,2433,/lustre/groups/caliskangrp/adimaini/deepspeech/cmu_wav/EDFW_2O08.wav,325382,yo tande pawòl la men traka lavi ak anvi gen lajan tou sa toufe pawòl la kifè yo pa ka bay anyen menm
